Fecha;"Volumen (€)";"Ingresos diarios recurrentes (€, sin IVA)";"Ingresos anuales recurrentes (€, sin IVA)";"Comisión media anual (%, sin IVA)"
2015-12-31;1.064.211,00;3,98;1.452,43;0,136
2016-01-01;1.064.211,00;3,98;1.452,43;0,136
2016-01-02;1.064.211,00;3,98;1.452,43;0,136
2016-01-03;1.064.211,00;3,98;1.452,43;0,136
2016-01-04;1.369.725,53;5,71;2.082,43;0,152
2016-01-05;1.375.798,12;5,70;2.080,66;0,151
2016-01-06;1.379.810,58;5,72;2.088,01;0,151
2016-01-07;1.373.278,83;5,69;2.076,25;0,151
2016-01-08;1.371.391,25;6,61;2.413,89;0,176
2016-01-09;1.371.391,25;6,61;2.413,89;0,176
2016-01-10;1.371.391,25;6,61;2.413,89;0,176
2016-01-11;1.374.461,29;6,57;2.397,39;0,174
2016-01-12;1.380.734,43;6,55;2.389,67;0,173
2016-01-13;1.394.858,22;6,57;2.398,44;0,172
2016-01-14;1.389.513,93;6,54;2.386,63;0,172
2016-01-15;1.390.961,12;6,55;2.389,84;0,172
2016-01-16;1.390.961,12;6,55;2.389,84;0,172
2016-01-17;1.390.961,12;6,55;2.389,84;0,172
2016-01-18;1.373.613,96;6,44;2.352,24;0,171
2016-01-19;1.373.788,61;6,44;2.351,89;0,171
2016-01-20;1.402.145,61;6,46;2.358,85;0,168
2016-01-21;1.419.400,03;6,54;2.388,01;0,168
2016-01-22;1.437.651,61;6,80;2.480,22;0,173
2016-01-23;1.437.651,61;6,80;2.480,22;0,173
2016-01-24;1.437.651,61;6,80;2.480,22;0,173
2016-01-25;1.452.437,62;6,88;2.512,35;0,173
2016-01-26;1.479.280,48;6,87;2.508,62;0,170
2016-01-27;1.505.684,57;6,92;2.525,40;0,168
2016-01-28;1.507.921,11;6,95;2.536,85;0,168
2016-01-29;1.517.873,00;7,05;2.573,79;0,170
2016-01-30;1.517.873,00;7,05;2.573,79;0,170
2016-01-31;1.517.873,00;7,05;2.573,79;0,170
2016-02-01;1.793.479,78;5,96;2.175,20;0,121
2016-02-02;1.797.087,23;6,92;2.524,48;0,140
2016-02-03;1.813.697,40;6,80;2.481,42;0,137
2016-02-04;1.806.311,83;6,76;2.467,29;0,137
2016-02-05;1.824.762,10;6,76;2.466,84;0,135
2016-02-06;1.824.762,10;6,76;2.466,84;0,135
2016-02-07;1.824.762,10;6,76;2.466,84;0,135
2016-02-08;1.817.116,39;6,72;2.453,56;0,135
2016-02-09;1.802.590,28;6,81;2.484,36;0,138
2016-02-10;1.847.962,61;6,93;2.529,43;0,137
2016-02-11;1.947.620,57;7,20;2.628,80;0,135
2016-02-12;1.933.200,22;7,24;2.641,21;0,137
2016-02-13;1.933.200,22;7,24;2.642,96;0,137
2016-02-14;1.933.200,22;7,24;2.642,96;0,137
2016-02-15;1.960.186,91;7,32;2.672,50;0,136
2016-02-16;1.996.699,00;7,49;2.735,59;0,137
2016-02-17;2.052.487,80;7,52;2.746,48;0,134
2016-02-18;2.073.870,13;7,66;2.796,91;0,135
2016-02-19;2.083.003,80;8,13;2.965,79;0,142
2016-02-20;2.083.003,80;8,13;2.965,79;0,142
2016-02-21;2.083.003,80;8,13;2.965,79;0,142
2016-02-22;2.078.201,99;8,10;2.956,71;0,142
2016-02-23;2.100.491,62;8,22;3.001,96;0,143
2016-02-24;2.099.698,71;8,16;2.979,16;0,142
2016-02-25;2.094.546,87;8,13;2.968,65;0,142
2016-02-26;2.102.990,68;8,18;2.986,00;0,142
2016-02-27;2.102.990,68;8,18;2.986,00;0,142
2016-02-28;2.102.990,68;8,18;2.986,00;0,142
2016-02-29;2.114.692,89;7,24;2.642,81;0,125
2016-03-01;2.158.358,95;7,29;2.662,39;0,123
2016-03-02;2.205.713,68;7,69;2.806,86;0,127
2016-03-03;2.292.899,16;8,17;2.983,03;0,130
2016-03-04;2.304.224,38;8,33;3.040,92;0,132
2016-03-05;2.304.224,38;8,33;3.040,92;0,132
2016-03-06;2.304.224,38;8,33;3.040,92;0,132
2016-03-07;2.317.412,30;8,47;3.090,39;0,133
2016-03-08;2.361.590,41;8,58;3.130,40;0,133
2016-03-09;2.368.988,45;8,50;3.101,82;0,131
2016-03-10;2.467.114,39;8,81;3.215,42;0,130
2016-03-11;2.539.366,66;8,91;3.251,32;0,128
2016-03-12;2.539.366,66;9,32;3.400,08;0,134
2016-03-13;2.539.366,66;9,32;3.400,08;0,134
2016-03-14;2.574.261,90;9,46;3.452,06;0,134
2016-03-15;2.653.428,89;9,13;3.333,97;0,126
2016-03-16;2.651.076,48;9,37;3.418,79;0,129
2016-03-17;2.670.664,01;9,41;3.435,46;0,129
2016-03-18;2.689.924,92;9,39;3.426,59;0,127
2016-03-19;2.689.924,92;9,39;3.426,59;0,127
2016-03-20;2.689.924,92;9,39;3.426,59;0,127
2016-03-21;2.718.269,73;9,50;3.468,32;0,128
2016-03-22;2.731.836,21;9,54;3.481,23;0,127
2016-03-23;2.734.856,26;9,55;3.487,30;0,128
2016-03-24;2.745.934,29;9,53;3.479,40;0,127
2016-03-25;2.745.940,43;9,53;3.479,42;0,127
2016-03-26;2.745.940,43;9,53;3.479,42;0,127
2016-03-27;2.745.940,43;9,53;3.479,42;0,127
2016-03-28;2.745.743,99;9,52;3.476,13;0,127
2016-03-29;2.748.665,81;9,48;3.461,11;0,126
2016-03-30;2.784.144,13;9,54;3.482,55;0,125
2016-03-31;2.805.426,70;9,54;3.483,10;0,124
2016-04-01;2.808.860,91;9,50;3.469,16;0,124
2016-04-02;2.808.860,91;9,53;3.478,83;0,124
2016-04-03;2.808.859,36;9,53;3.478,83;0,124
2016-04-04;2.907.400,30;9,56;3.489,85;0,120
2016-04-05;2.929.284,70;9,69;3.535,30;0,121
2016-04-06;2.908.362,74;9,58;3.495,79;0,120
2016-04-07;2.928.995,85;9,63;3.514,67;0,120
2016-04-08;2.941.188,81;9,82;3.583,24;0,122
2016-04-09;2.941.188,81;10,22;3.732,00;0,127
2016-04-10;2.941.188,81;10,22;3.732,00;0,127
2016-04-11;3.079.890,25;10,93;3.990,37;0,130
2016-04-12;3.096.833,85;10,92;3.984,23;0,129
2016-04-13;3.164.559,35;11,29;4.122,35;0,130
2016-04-14;3.290.861,91;11,54;4.210,97;0,128
2016-04-15;3.308.495,00;11,55;4.216,05;0,127
2016-04-16;3.308.495,00;11,55;4.216,05;0,127
2016-04-17;3.308.495,00;11,55;4.216,05;0,127
2016-04-18;3.306.751,44;11,53;4.207,28;0,127
2016-04-19;3.370.600,39;11,90;4.342,70;0,129
2016-04-20;3.421.423,48;12,28;4.480,54;0,131
2016-04-21;3.461.644,61;12,45;4.544,91;0,131
2016-04-22;3.484.470,30;12,41;4.528,13;0,130
2016-04-23;3.484.470,30;12,89;4.703,16;0,135
2016-04-24;3.484.470,30;12,89;4.703,16;0,135
2016-04-25;3.526.497,09;13,16;4.804,24;0,136
2016-04-26;3.552.146,20;13,06;4.767,59;0,134
2016-04-27;3.687.992,41;13,54;4.941,14;0,134
2016-04-28;3.707.738,30;13,65;4.980,54;0,134
2016-04-29;3.727.990,18;13,61;4.969,10;0,133
2016-04-30;3.727.990,18;13,61;4.969,10;0,133
2016-05-01;3.727.990,18;13,61;4.969,10;0,133
2016-05-02;3.787.748,12;14,30;5.219,04;0,138
2016-05-03;3.798.249,31;14,30;5.221,18;0,137
2016-05-04;3.996.597,12;15,29;5.579,77;0,140
2016-05-05;4.237.262,86;16,97;6.192,54;0,146
2016-05-06;4.257.622,17;15,90;5.803,05;0,136
2016-05-07;4.257.622,17;15,95;5.822,60;0,137
2016-05-08;4.257.622,17;15,95;5.822,60;0,137
2016-05-09;4.358.356,26;16,30;5.949,88;0,137
2016-05-10;4.509.509,79;16,33;5.958,63;0,132
2016-05-11;4.611.917,26;17,18;6.269,10;0,136
2016-05-12;4.617.469,67;17,24;6.290,98;0,136
2016-05-13;4.646.600,87;17,20;6.279,58;0,135
2016-05-14;4.646.600,87;17,20;6.279,58;0,135
2016-05-15;4.646.600,87;17,20;6.279,58;0,135
2016-05-16;4.694.330,36;17,35;6.333,91;0,135
2016-05-17;4.805.312,87;17,35;6.334,37;0,132
2016-05-18;4.887.052,56;17,68;6.452,22;0,132
2016-05-19;4.904.751,47;17,70;6.461,33;0,132
2016-05-20;4.898.064,24;17,66;6.444,21;0,132
2016-05-21;4.898.064,24;18,33;6.691,83;0,137
2016-05-22;4.898.064,24;18,33;6.691,83;0,137
2016-05-23;4.937.952,94;18,44;6.729,87;0,136
2016-05-24;4.952.879,78;18,49;6.748,03;0,136
2016-05-25;5.094.480,39;19,15;6.989,53;0,137
2016-05-26;5.133.261,16;19,32;7.051,35;0,137
2016-05-27;5.161.112,46;19,66;7.174,76;0,139
2016-05-28;5.161.112,46;19,66;7.174,76;0,139
2016-05-29;5.161.112,46;19,66;7.174,76;0,139
2016-05-30;5.180.174,05;19,56;7.139,70;0,138
2016-05-31;5.210.908,98;19,66;7.176,73;0,138
2016-06-01;5.266.199,42;19,88;7.255,38;0,138
2016-06-02;5.270.989,19;20,03;7.311,07;0,139
2016-06-03;5.403.728,71;20,11;7.341,51;0,136
2016-06-04;5.403.728,71;20,16;7.360,10;0,136
2016-06-05;5.403.728,71;20,16;7.360,10;0,136
2016-06-06;5.460.528,46;20,45;7.464,98;0,137
2016-06-07;5.478.094,79;20,53;7.495,27;0,137
2016-06-08;5.543.185,06;20,74;7.571,17;0,137
2016-06-09;5.561.287,52;20,98;7.656,12;0,138
2016-06-10;5.568.065,05;20,95;7.646,05;0,137
2016-06-11;5.548.073,92;21,30;7.774,84;0,140
2016-06-12;5.548.073,92;21,30;7.774,84;0,140
2016-06-13;5.542.856,84;21,16;7.722,71;0,139
2016-06-14;5.531.222,35;21,32;7.782,28;0,141
2016-06-15;5.632.312,77;21,52;7.854,66;0,139
2016-06-16;5.719.704,01;22,15;8.084,20;0,141
2016-06-17;5.747.019,80;22,20;8.103,95;0,141
2016-06-18;5.747.019,80;22,20;8.103,95;0,141
2016-06-19;5.747.019,80;22,20;8.103,95;0,141
2016-06-20;5.765.168,95;22,27;8.128,42;0,141
2016-06-21;5.938.502,63;22,60;8.250,12;0,139
2016-06-22;6.008.512,35;22,95;8.378,43;0,139
2016-06-23;6.019.978,77;23,35;8.524,15;0,142
2016-06-24;6.063.213,42;23,64;8.628,28;0,142
2016-06-25;6.063.213,42;23,64;8.628,28;0,142
2016-06-26;6.063.213,42;23,64;8.628,28;0,142
2016-06-27;5.982.834,67;23,40;8.539,55;0,143
2016-06-28;6.020.126,30;23,95;8.740,06;0,145
2016-06-29;6.149.843,15;23,14;8.446,03;0,137
2016-06-30;6.342.209,43;24,13;8.808,01;0,139
2016-07-01;6.433.945,64;24,40;8.905,54;0,138
2016-07-02;6.433.945,64;24,50;8.942,73;0,139
2016-07-03;6.433.945,64;24,50;8.942,73;0,139
2016-07-04;7.110.086,06;25,04;9.140,75;0,129
2016-07-05;7.146.990,76;25,38;9.264,98;0,130
2016-07-06;7.184.907,63;25,40;9.271,25;0,129
2016-07-07;7.228.568,59;25,57;9.333,53;0,129
2016-07-08;7.289.227,56;26,21;9.566,16;0,131
2016-07-09;7.293.002,81;26,23;9.574,23;0,131
2016-07-10;7.293.002,81;26,23;9.574,23;0,131
2016-07-11;7.436.438,18;26,94;9.833,37;0,132
2016-07-12;7.496.259,00;27,13;9.903,47;0,132
2016-07-13;7.534.011,60;27,33;9.976,29;0,132
2016-07-14;7.549.705,12;27,48;10.029,99;0,133
2016-07-15;8.041.049,48;30,07;10.976,99;0,137
2016-07-16;8.041.049,48;30,07;10.976,99;0,137
2016-07-17;8.041.049,00;30,07;10.976,99;0,137
2016-07-18;8.390.079,85;30,91;11.282,36;0,134
2016-07-19;8.576.604,52;31,53;11.509,48;0,134
2016-07-20;9.071.348,04;34,39;12.552,53;0,138
2016-07-21;9.155.326,01;35,15;12.828,41;0,140
2016-07-22;9.218.894,65;35,46;12.943,93;0,140
2016-07-23;9.218.894,65;35,51;12.962,40;0,141
2016-07-24;9.218.894,65;35,51;12.962,40;0,141
2016-07-25;9.334.205,37;35,80;13.066,99;0,140
2016-07-26;9.456.974,52;36,40;13.284,57;0,140
2016-07-27;9.554.999,77;36,57;13.348,13;0,140
2016-07-28;9.630.143,36;37,07;13.532,01;0,141
2016-07-29;9.629.014,82;37,09;13.538,38;0,141
2016-07-30;9.607.810,36;36,97;13.492,54;0,140
2016-07-31;9.607.810,36;36,97;13.492,54;0,140
2016-08-01;9.648.651,11;37,10;13.539,76;0,140
2016-08-02;9.683.046,60;37,03;13.514,89;0,140
2016-08-03;9.746.166,18;37,43;13.661,74;0,140
2016-08-04;9.782.385,07;37,69;13.758,04;0,141
2016-08-05;9.950.121,09;37,88;13.825,90;0,139
2016-08-06;9.950.121,09;37,88;13.825,90;0,139
2016-08-07;9.950.121,09;37,88;13.825,90;0,139
2016-08-08;10.033.556,68;38,55;14.071,99;0,140
2016-08-09;10.079.894,78;38,83;14.171,72;0,141
2016-08-10;10.102.104,09;38,90;14.200,18;0,141
2016-08-11;10.136.164,05;39,06;14.257,81;0,141
2016-08-12;10.174.275,01;39,30;14.345,99;0,141
2016-08-13;10.174.275,01;39,30;14.345,99;0,141
2016-08-14;10.174.275,01;39,30;14.345,99;0,141
2016-08-15;10.225.884,42;39,39;14.377,46;0,141
2016-08-16;10.239.849,01;39,40;14.382,45;0,140
2016-08-17;10.303.877,47;39,77;14.515,43;0,141
2016-08-18;10.411.916,27;39,74;14.506,25;0,139
2016-08-19;10.435.793,49;40,44;14.760,47;0,141
2016-08-20;10.435.793,49;40,44;14.760,47;0,141
2016-08-21;10.435.793,49;40,44;14.760,47;0,141
2016-08-22;10.429.365,60;40,34;14.722,93;0,141
2016-08-23;10.443.171,03;40,42;14.752,47;0,141
2016-08-24;10.471.447,65;40,47;14.773,30;0,141
2016-08-25;10.462.333,36;40,44;14.759,10;0,141
2016-08-26;10.450.784,45;40,42;14.753,73;0,141
2016-08-27;10.459.214,57;40,47;14.772,11;0,141
2016-08-28;10.459.214,57;40,47;14.772,11;0,141
2016-08-29;10.518.981,35;40,56;14.806,05;0,141
2016-08-30;10.754.591,18;41,94;15.309,69;0,142
2016-08-31;10.880.911,98;42,79;15.618,77;0,144
2016-09-01;10.963.382,40;42,70;15.586,50;0,142
2016-09-02;10.955.074,31;42,66;15.571,26;0,142
2016-09-03;10.985.897,00;42,85;15.638,60;0,142
2016-09-04;10.985.897,00;42,85;15.638,60;0,142
2016-09-05;11.083.852,44;43,20;15.766,21;0,142
2016-09-06;11.154.979,17;43,44;15.854,47;0,142
2016-09-07;11.529.879,79;44,61;16.282,21;0,141
2016-09-08;11.588.351,56;45,26;16.520,66;0,143
2016-09-09;11.633.966,06;45,42;16.578,49;0,143
2016-09-10;11.633.966,06;45,52;16.613,35;0,143
2016-09-11;11.633.966,06;45,52;16.613,35;0,143
2016-09-12;11.641.130,62;45,50;16.606,70;0,143
2016-09-13;11.619.851,52;45,31;16.538,10;0,142
2016-09-14;11.661.999,25;46,98;17.148,46;0,147
2016-09-15;11.679.067,73;47,28;17.258,74;0,148
2016-09-16;11.802.962,31;46,32;16.908,53;0,143
2016-09-17;11.802.962,31;46,43;16.945,72;0,144
2016-09-18;11.802.962,31;46,43;16.945,72;0,144
2016-09-19;11.847.848,83;46,50;16.972,59;0,143
2016-09-20;12.044.581,72;46,61;17.012,96;0,141
2016-09-21;12.178.739,37;46,98;17.147,75;0,141
2016-09-22;12.363.790,66;47,28;17.258,38;0,140
2016-09-23;12.513.702,54;47,83;17.458,27;0,140
2016-09-24;12.513.702,54;47,83;17.458,27;0,140
2016-09-25;12.513.702,54;47,83;17.458,27;0,140
2016-09-26;12.667.114,11;47,62;17.381,66;0,137
2016-09-27;12.676.033,74;47,85;17.463,94;0,138
2016-09-28;12.911.303,15;48,55;17.720,89;0,137
2016-09-29;13.105.791,25;48,69;17.772,56;0,136
2016-09-30;13.279.338,79;48,95;17.865,81;0,135
2016-10-01;13.279.338,79;49,10;17.921,60;0,135
2016-10-02;13.279.338,79;49,13;17.934,10;0,135
2016-10-03;13.386.954,01;49,26;17.981,46;0,134
2016-10-04;13.448.068,98;49,18;17.952,28;0,133
2016-10-05;13.592.475,94;49,41;18.036,28;0,133
2016-10-06;13.616.505,05;50,55;18.450,01;0,135
2016-10-07;13.698.294,87;51,01;18.618,39;0,136
2016-10-08;13.698.294,87;51,24;18.703,93;0,137
2016-10-09;13.698.294,87;51,24;18.703,93;0,137
2016-10-10;13.701.636,29;51,11;18.653,48;0,136
2016-10-11;13.807.193,07;51,21;18.693,43;0,135
2016-10-12;13.836.946,66;52,02;18.989,09;0,137
2016-10-13;13.847.939,66;52,05;18.996,88;0,137
2016-10-14;13.855.632,50;52,11;19.020,30;0,137
2016-10-15;13.855.632,50;52,11;19.020,30;0,137
2016-10-16;13.855.632,50;52,14;19.029,60;0,137
2016-10-17;13.930.058,99;52,58;19.191,88;0,138
2016-10-18;13.951.817,84;52,72;19.241,41;0,138
2016-10-19;14.121.654,42;52,70;19.234,16;0,136
2016-10-20;14.218.735,47;53,38;19.483,44;0,137
2016-10-21;14.324.786,95;53,71;19.603,11;0,137
2016-10-22;14.324.786,95;53,77;19.627,29;0,137
2016-10-23;14.324.786,95;54,28;19.813,24;0,138
2016-10-24;14.363.594,00;54,37;19.846,15;0,138
2016-10-25;14.555.292,24;55,35;20.201,76;0,139
2016-10-26;14.573.228,43;55,81;20.372,41;0,140
2016-10-27;14.535.469,05;55,30;20.183,80;0,139
2016-10-28;14.523.417,31;56,35;20.569,52;0,142
2016-10-29;14.523.817,31;56,41;20.588,11;0,142
2016-10-30;14.523.817,31;56,43;20.597,31;0,142
2016-10-31;14.582.649,72;56,42;20.591,87;0,141
2016-11-01;14.539.022,78;56,35;20.566,09;0,141
2016-11-02;14.518.581,23;58,17;21.231,25;0,146
2016-11-03;14.530.816,91;58,60;21.388,22;0,147
2016-11-04;14.527.801,45;58,61;21.391,77;0,147
2016-11-05;14.527.801,45;58,64;21.402,93;0,147
2016-11-06;14.527.801,45;58,64;21.402,93;0,147
2016-11-07;14.559.657,64;58,73;21.436,88;0,147
2016-11-08;14.783.944,48;58,14;21.222,92;0,144
2016-11-09;14.872.439,61;58,84;21.476,94;0,144
2016-11-10;15.136.574,79;59,93;21.872,76;0,145
2016-11-11;15.193.100,05;60,89;22.226,19;0,146
2016-11-12;15.193.099,56;61,15;22.321,02;0,147
2016-11-13;15.193.099,59;61,15;22.321,02;0,147
2016-11-14;15.211.186,67;60,93;22.238,97;0,146
2016-11-15;15.211.789,18;60,94;22.244,48;0,146
2016-11-16;15.437.600,94;61,86;22.580,15;0,146
2016-11-17;15.473.639,09;62,75;22.905,39;0,148
2016-11-18;15.546.746,58;62,76;22.906,19;0,147
2016-11-19;15.546.744,02;62,89;22.954,54;0,148
2016-11-20;15.546.723,83;62,89;22.954,54;0,148
2016-11-21;15.613.078,51;63,27;23.093,46;0,148
2016-11-22;15.888.683,20;64,84;23.665,91;0,149
2016-11-23;16.592.363,20;65,31;23.837,45;0,144
2016-11-24;16.757.322,07;67,58;24.666,27;0,147
2016-11-25;16.774.854,59;68,87;25.137,85;0,150
2016-11-26;16.774.850,52;68,97;25.175,04;0,150
2016-11-27;16.774.846,47;68,97;25.175,04;0,150
2016-11-28;16.862.911,44;69,62;25.412,76;0,151
2016-11-29;16.943.532,50;69,41;25.333,21;0,150
2016-11-30;17.079.693,83;69,76;25.461,90;0,149
2016-12-01;17.195.198,32;70,88;25.869,69;0,150
2016-12-02;17.322.816,48;71,65;26.151,79;0,151
2016-12-03;17.322.807,64;71,89;26.241,05;0,151
2016-12-04;17.322.798,78;71,89;26.241,05;0,151
2016-12-05;17.488.843,44;72,35;26.407,02;0,151
2016-12-06;17.516.303,41;72,90;26.606,90;0,152
2016-12-07;17.719.628,15;73,99;27.006,61;0,152
2016-12-08;17.934.718,52;74,64;27.242,11;0,152
2016-12-09;18.361.548,16;76,23;27.824,17;0,152
2016-12-10;18.361.534,80;77,24;28.193,47;0,154
2016-12-11;18.361.522,03;77,24;28.193,47;0,154
2016-12-12;18.561.706,41;78,76;28.747,38;0,155
2016-12-13;18.583.469,91;79,32;28.950,29;0,156
2016-12-14;18.625.059,94;80,96;29.548,89;0,159
2016-12-15;18.998.173,62;81,71;29.825,43;0,157
2016-12-16;19.332.432,60;82,90;30.259,72;0,157
2016-12-17;19.332.411,78;82,90;30.259,72;0,157
2016-12-18;19.332.390,94;82,90;30.259,72;0,157
2016-12-19;19.523.045,10;84,20;30.733,31;0,157
2016-12-20;19.559.252,02;84,95;31.006,42;0,159
2016-12-21;19.870.711,34;87,15;31.808,66;0,160
2016-12-22;19.947.644,23;87,59;31.972,01;0,160
2016-12-23;20.065.616,52;87,72;32.019,26;0,160
2016-12-24;20.079.064,07;87,87;32.071,41;0,160
2016-12-25;20.079.034,19;87,87;32.071,41;0,160
2016-12-26;20.085.797,73;87,90;32.082,57;0,160
2016-12-27;20.134.715,05;88,55;32.320,85;0,161
2016-12-28;20.527.438,00;89,07;32.509,70;0,158
2016-12-29;20.658.866,86;91,05;33.233,42;0,161
2016-12-30;20.705.504,55;91,57;33.422,63;0,161
2016-12-31;20.718.614,07;91,79;33.501,74;0,162
2017-01-01;20.720.969,69;91,79;33.501,74;0,162
2017-01-02;20.717.188,91;92,47;33.751,89;0,163
2017-01-03;20.859.854,94;92,75;33.853,08;0,162
2017-01-04;21.279.977,93;94,33;34.431,82;0,162
2017-01-05;21.420.715,97;94,73;34.576,87;0,161
2017-01-06;21.431.954,02;95,49;34.855,04;0,163
2017-01-07;21.446.345,71;95,49;34.855,04;0,163
2017-01-08;21.446.302,07;96,78;35.323,63;0,165
2017-01-09;21.547.036,94;96,99;35.401,36;0,164
2017-01-10;21.658.865,99;97,88;35.725,34;0,165
2017-01-11;22.066.233,89;98,71;36.028,03;0,163
2017-01-12;22.478.617,83;103,23;37.678,87;0,168
2017-01-13;22.631.251,51;103,78;37.878,42;0,167
2017-01-14;22.631.213,71;104,11;38.001,14;0,168
2017-01-15;22.631.175,93;104,11;38.001,14;0,168
2017-01-16;22.958.633,06;104,80;38.252,71;0,167
2017-01-17;23.305.305,71;106,49;38.870,01;0,167
2017-01-18;23.433.145,97;109,79;40.074,91;0,171
2017-01-19;23.535.332,56;110,98;40.508,95;0,172
2017-01-20;23.823.592,21;111,99;40.875,79;0,172
2017-01-21;23.764.451,48;112,01;40.882,14;0,172
2017-01-22;23.764.396,54;112,01;40.882,14;0,172
2017-01-23;23.931.730,68;112,81;41.174,82;0,172
2017-01-24;24.007.017,64;113,56;41.447,61;0,173
2017-01-25;24.015.023,95;114,69;41.860,05;0,174
2017-01-26;24.327.834,78;115,10;42.011,05;0,173
2017-01-27;24.476.048,78;114,46;41.778,19;0,171
2017-01-28;24.475.994,08;114,62;41.837,70;0,171
2017-01-29;24.475.939,37;114,62;41.837,70;0,171
2017-01-30;24.736.782,72;115,93;42.316,11;0,171
2017-01-31;24.817.281,49;117,41;42.854,81;0,173
2017-02-01;24.794.548,07;117,92;43.042,32;0,174
2017-02-02;24.879.336,32;119,59;43.649,18;0,175
2017-02-03;25.100.620,06;119,58;43.645,62;0,174
2017-02-04;25.159.993,22;120,05;43.817,68;0,174
2017-02-05;25.172.052,52;120,05;43.817,68;0,174
2017-02-06;25.324.476,27;120,31;43.911,90;0,173
2017-02-07;25.587.437,20;120,34;43.922,83;0,172
2017-02-08;25.746.431,68;122,46;44.696,72;0,174
2017-02-09;25.844.072,70;123,43;45.050,40;0,174
2017-02-10;26.111.176,84;124,58;45.473,15;0,174
2017-02-11;26.111.118,98;124,60;45.480,58;0,174
2017-02-12;26.111.061,10;124,83;45.562,40;0,174
2017-02-13;26.283.895,76;125,07;45.651,14;0,174
2017-02-14;26.529.946,93;127,43;46.512,59;0,175
2017-02-15;26.859.799,95;130,17;47.513,18;0,177
2017-02-16;27.329.547,15;130,42;47.604,86;0,174
2017-02-17;27.444.658,88;130,87;47.766,13;0,174
2017-02-18;27.470.807,14;132,48;48.353,57;0,176
2017-02-19;27.470.751,58;132,48;48.353,57;0,176
2017-02-20;27.623.489,63;133,91;48.875,41;0,177
2017-02-21;28.395.416,30;136,01;49.643,64;0,175
2017-02-22;28.573.993,59;136,77;49.922,35;0,175
2017-02-23;28.986.020,88;138,98;50.728,08;0,175
2017-02-24;29.292.569,44;138,86;50.685,22;0,173
2017-02-25;29.292.502,90;140,13;51.148,65;0,175
2017-02-26;29.292.395,42;140,18;51.167,25;0,175
2017-02-27;29.512.127,21;140,88;51.421,34;0,174
2017-02-28;29.616.366,52;141,22;51.545,73;0,174
2017-03-01;30.082.020,06;141,70;51.720,39;0,172
2017-03-02;30.383.176,71;144,43;52.716,16;0,174
2017-03-03;30.497.803,66;144,87;52.877,74;0,173
2017-03-04;30.435.733,30;144,76;52.838,44;0,174
2017-03-05;30.450.123,03;145,09;52.959,22;0,174
2017-03-06;30.526.836,99;145,11;52.965,65;0,174
2017-03-07;30.980.877,91;146,76;53.566,06;0,173
2017-03-08;31.208.179,56;149,56;54.590,17;0,175
2017-03-09;31.325.749,01;151,60;55.334,38;0,177
2017-03-10;31.425.062,00;152,55;55.680,08;0,177
2017-03-11;31.424.985,16;152,93;55.817,74;0,178
2017-03-12;31.424.744,65;152,93;55.817,74;0,178
2017-03-13;31.413.445,27;152,93;55.818,87;0,178
2017-03-14;32.232.356,96;153,97;56.200,11;0,174
2017-03-15;32.522.598,64;155,13;56.620,64;0,174
2017-03-16;32.563.909,25;155,78;56.858,37;0,175
2017-03-17;32.675.183,06;156,84;57.246,03;0,175
2017-03-18;32.675.120,40;157,01;57.309,82;0,175
2017-03-19;32.675.057,74;157,01;57.309,82;0,175
2017-03-20;32.749.256,11;157,40;57.450,56;0,175
2017-03-21;32.801.102,72;158,30;57.778,90;0,176
2017-03-22;33.138.914,25;158,65;57.906,92;0,175
2017-03-23;33.226.564,39;159,61;58.259,10;0,175
2017-03-24;33.416.528,88;162,30;59.241,19;0,177
2017-03-25;33.416.448,71;163,15;59.548,01;0,178
2017-03-26;33.416.369,83;163,15;59.548,01;0,178
2017-03-27;33.502.878,23;163,45;59.657,85;0,178
2017-03-28;33.492.600,61;163,28;59.597,82;0,178
2017-03-29;33.809.695,65;164,86;60.172,93;0,178
2017-03-30;34.150.226,06;166,52;60.779,02;0,178
2017-03-31;34.429.907,74;166,96;60.938,75;0,177
2017-04-01;34.429.825,95;166,96;60.938,75;0,177
2017-04-02;34.429.744,51;166,96;60.938,75;0,177
2017-04-03;34.693.749,78;170,51;62.236,65;0,179
2017-04-04;35.104.357,69;171,25;62.505,72;0,178
2017-04-05;35.241.770,75;172,11;62.819,59;0,178
2017-04-06;35.448.897,71;174,20;63.581,50;0,179
2017-04-07;35.580.974,97;174,89;63.835,09;0,179
2017-04-08;35.580.892,50;174,99;63.872,28;0,180
2017-04-09;35.580.810,07;174,99;63.872,28;0,180
2017-04-10;35.673.443,19;175,64;64.107,21;0,180
2017-04-11;35.919.144,00;177,31;64.718,79;0,180
2017-04-12;35.985.250,54;177,17;64.667,62;0,180
2017-04-13;36.112.182,65;178,37;65.104,14;0,180
2017-04-14;36.033.269,19;177,88;64.926,80;0,180
2017-04-15;36.033.186,36;177,88;64.926,80;0,180
2017-04-16;36.033.103,54;177,88;64.926,80;0,180
2017-04-17;36.101.589,21;178,53;65.161,74;0,180
2017-04-18;36.265.721,33;179,35;65.462,15;0,181
2017-04-19;36.254.321,15;178,88;65.292,77;0,180
2017-04-20;36.322.573,34;179,91;65.667,96;0,181
2017-04-21;36.508.197,71;180,94;66.043,67;0,181
2017-04-22;36.586.779,59;182,20;66.502,75;0,182
