Fecha;"Volumen (€)";"Aportaciones netas (día, €)";"Aportaciones netas acumuladas (€)"
2018-09-28;121.673.243,96;37.905,10;115.367.901,73
2018-09-29;121.681.374,33;0,00;115.367.901,73
2018-09-30;121.708.481,93;0,00;115.367.901,73
2018-10-01;122.009.123,09;345.459,11;115.713.360,84
2018-10-02;122.556.809,72;588.373,86;116.301.734,70
2018-10-03;122.711.792,94;88.446,66;116.390.181,36
2018-10-04;123.093.255,21;120.148,33;116.510.329,69
2018-10-05;122.752.596,47;710.204,93;117.220.534,62
2018-10-06;122.760.652,62;0,00;117.220.534,62
2018-10-07;122.777.542,66;0,00;117.220.534,62
2018-10-08;122.874.798,52;380.852,02;117.601.386,64
2018-10-09;123.287.883,28;769.012,39;118.370.399,03
2018-10-10;123.296.268,63;333.024,72;118.703.423,75
2018-10-11;122.131.165,41;760.393,10;119.463.816,85
2018-10-12;121.251.273,24;476.750,33;119.940.567,18
2018-10-13;121.258.031,46;0,00;119.940.567,18
2018-10-14;121.259.600,07;0,00;119.940.567,18
2018-10-15;121.758.346,52;90.515,85;120.031.083,03
2018-10-16;122.301.429,37;723.323,18;120.754.406,21
2018-10-17;123.705.400,48;196.969,49;120.951.375,70
2018-10-18;124.142.854,93;330.675,34;121.282.051,04
2018-10-19;123.631.937,79;138.712,97;121.420.764,01
2018-10-20;123.636.245,24;0,00;121.420.764,01
2018-10-21;123.659.127,47;0,00;121.420.764,01
2018-10-22;123.895.097,26;258.553,18;121.679.317,19
2018-10-23;124.098.599,63;278.527,23;121.957.844,42
2018-10-24;123.526.591,16;178.167,94;122.136.012,36
2018-10-25;122.966.924,34;379.885,14;122.515.897,50
2018-10-26;123.559.155,09;109.728,66;122.625.626,16
2018-10-27;123.567.453,46;0,00;122.625.626,16
2018-10-28;123.567.468,02;0,00;122.625.626,16
2018-10-29;123.201.672,51;236.482,17;122.862.108,33
2018-10-30;123.891.063,88;304.485,74;123.166.594,07
2018-10-31;125.196.905,79;154.268,65;123.320.862,72
2018-11-01;125.909.960,82;215.160,96;123.536.023,68
2018-11-02;126.175.575,55;199.279,85;123.735.303,53
2018-11-03;126.179.954,59;0,00;123.735.303,53
2018-11-04;126.186.514,26;0,00;123.735.303,53
2018-11-05;126.691.423,59;283.900,19;124.019.203,72
2018-11-06;127.600.435,04;747.165,40;124.766.369,12
2018-11-07;128.307.430,76;308.968,40;125.075.337,52
2018-11-08;129.701.634,57;897.364,03;125.972.701,55
2018-11-09;129.840.069,27;116.036,13;126.088.737,68
2018-11-10;129.872.662,50;0,00;126.088.737,68
2018-11-11;129.891.700,09;0,00;126.088.737,68
2018-11-12;130.012.762,70;224.715,06;126.313.452,74
2018-11-13;129.726.281,66;451.367,89;126.764.820,63
2018-11-14;130.565.520,89;1.078.665,95;127.843.486,58
2018-11-15;130.333.330,09;311.056,25;128.154.542,83
2018-11-16;130.681.444,46;172.410,44;128.326.953,27
2018-11-17;130.682.913,24;0,00;128.326.953,27
2018-11-18;130.691.637,93;0,00;128.326.953,27
2018-11-19;130.501.906,94;107.619,83;128.434.573,10
2018-11-20;129.482.129,23;244.501,39;128.679.074,49
2018-11-21;128.968.595,66;100.730,36;128.779.804,85
2018-11-22;129.578.558,19;306.814,99;129.086.619,84
2018-11-23;129.682.390,82;245.184,42;129.331.804,26
2018-11-24;129.695.792,16;0,00;129.331.804,26
2018-11-25;129.707.702,73;0,00;129.331.804,26
2018-11-26;130.306.908,76;386.615,46;129.718.419,72
2018-11-27;131.168.995,53;145.105,20;129.863.524,92
2018-11-28;132.190.768,79;208.143,06;130.071.667,98
2018-11-29;133.149.402,79;248.368,98;130.320.036,96
2018-11-30;133.703.566,90;620.666,65;130.940.703,61
2018-12-01;133.713.239,32;0,00;130.940.703,61
2018-12-02;133.762.221,80;0,00;130.940.703,61
2018-12-03;134.928.516,98;388.702,43;131.329.406,04
2018-12-04;135.719.927,78;406.310,45;131.735.716,49
2018-12-05;134.620.955,67;176.689,55;131.912.406,04
2018-12-06;134.441.619,73;141.709,57;132.054.115,61
2018-12-07;133.753.374,66;12.671,05;132.066.786,66
2018-12-08;133.290.178,48;0,00;132.066.786,66
2018-12-09;133.324.162,08;0,00;132.066.786,66
2018-12-10;132.799.146,67;671.782,23;132.738.568,89
2018-12-11;133.017.632,00;454.249,49;133.192.818,38
2018-12-12;134.123.505,23;438.350,45;133.631.168,83
2018-12-13;135.153.280,77;385.520,75;134.016.689,58
2018-12-14;135.585.644,62;457.017,12;134.473.706,70
2018-12-15;134.935.325,36;0,00;134.473.706,70
2018-12-16;134.941.140,58;0,00;134.473.706,70
2018-12-17;135.055.226,89;329.209,82;134.802.916,52
2018-12-18;134.433.575,55;666.213,94;135.469.130,46
2018-12-19;133.963.041,69;-54.253,54;135.414.876,92
2018-12-20;133.310.658,84;282.752,11;135.697.629,03
2018-12-21;132.743.683,92;65.238,31;135.762.867,34
2018-12-22;132.572.316,52;0,00;135.762.867,34
2018-12-23;132.595.224,33;0,00;135.762.867,34
2018-12-24;132.005.561,99;735.350,53;136.498.217,87
2018-12-25;131.986.401,79;23.494,38;136.521.712,25
2018-12-26;131.621.044,28;170.321,97;136.692.034,22
2018-12-27;133.366.765,00;374.763,52;137.066.797,74
2018-12-28;134.661.024,16;490.881,43;137.557.679,17
2018-12-29;134.388.022,69;0,00;137.557.679,17
2018-12-30;134.453.070,74;0,00;137.557.679,17
2018-12-31;134.823.831,40;670.207,70;138.227.886,87
2019-01-01;135.133.397,54;0,00;138.227.886,87
2019-01-02;136.010.539,99;337.315,14;138.565.202,01
2019-01-03;136.563.639,25;319.054,74;138.884.256,75
2019-01-04;136.149.177,40;633.040,72;139.517.297,47
2019-01-05;136.118.129,94;0,00;139.517.297,47
2019-01-06;136.118.523,13;0,00;139.517.297,47
2019-01-07;137.773.581,96;218.870,90;139.736.168,37
2019-01-08;138.487.331,48;117.745,16;139.853.913,53
2019-01-09;139.479.967,83;678.944,49;140.532.858,02
2019-01-10;140.194.539,06;157.140,02;140.689.998,04
2019-01-11;140.566.354,20;261.423,49;140.951.421,53
2019-01-12;140.599.885,22;0,00;140.951.421,53
2019-01-13;140.602.368,25;0,00;140.951.421,53
2019-01-14;140.963.802,62;204.442,60;141.155.864,13
2019-01-15;141.111.293,14;181.650,78;141.337.514,91
2019-01-16;142.373.935,10;405.897,97;141.743.412,88
2019-01-17;143.071.250,45;213.253,99;141.956.666,87
2019-01-18;143.706.441,45;104.500,60;142.061.167,47
2019-01-19;143.721.467,44;0,00;142.061.167,47
2019-01-20;143.726.942,28;0,00;142.061.167,47
2019-01-21;145.069.106,68;272.785,75;142.333.953,22
2019-01-22;145.166.726,81;413.107,46;142.747.060,68
2019-01-23;144.859.892,82;305.563,68;143.052.624,36
2019-01-24;145.171.006,93;179.753,88;143.232.378,24
2019-01-25;145.954.518,01;236.843,33;143.469.221,57
2019-01-26;145.954.519,77;0,00;143.469.221,57
2019-01-27;145.955.372,11;0,00;143.469.221,57
2019-01-28;146.585.894,44;443.281,46;143.912.503,03
2019-01-29;146.333.446,72;450.409,66;144.362.912,69
2019-01-30;147.041.580,12;276.961,44;144.639.874,13
2019-01-31;147.449.571,84;-220.426,57;144.419.447,56
2019-02-01;148.366.698,34;348.592,84;144.768.040,40
2019-02-02;148.369.795,96;0,00;144.768.040,40
2019-02-03;148.386.902,62;0,00;144.768.040,40
2019-02-04;149.024.604,38;596.393,80;145.364.434,20
2019-02-05;150.273.882,64;372.969,94;145.737.404,14
2019-02-06;151.357.929,58;884.653,77;146.622.057,91
2019-02-07;151.815.166,04;550.582,18;147.172.640,09
2019-02-08;151.569.016,13;368.417,82;147.541.057,91
2019-02-09;151.569.860,52;0,00;147.541.057,91
2019-02-10;151.582.870,81;0,00;147.541.057,91
2019-02-11;152.541.714,37;1.030.860,34;148.571.918,25
2019-02-12;153.598.885,01;595.315,65;149.167.233,90
2019-02-13;154.710.330,71;303.066,14;149.470.300,04
2019-02-14;155.299.909,32;254.522,01;149.724.822,05
2019-02-15;155.625.961,22;192.127,82;149.916.949,87
2019-02-16;155.636.188,44;0,00;149.916.949,87
2019-02-17;155.637.065,53;0,00;149.916.949,87
2019-02-18;156.868.186,27;465.213,85;150.382.163,72
2019-02-19;157.997.640,70;881.580,85;151.263.744,57
2019-02-20;158.535.134,53;774.324,45;152.038.069,02
2019-02-21;158.995.142,96;311.700,18;152.349.769,20
2019-02-22;159.167.547,33;386.277,22;152.736.046,42
2019-02-23;159.170.150,22;0,00;152.736.046,42
2019-02-24;159.171.055,19;0,00;152.736.046,42
2019-02-25;160.094.463,24;385.592,73;153.121.639,15
2019-02-26;160.837.451,84;461.978,74;153.583.617,89
2019-02-27;161.168.907,03;367.359,61;153.950.977,50
2019-02-28;160.853.099,80;-27.394,75;153.923.582,75
2019-03-01;161.012.450,48;447.641,84;154.371.224,59
2019-03-02;161.008.876,87;0,00;154.371.224,59
2019-03-03;161.011.992,63;0,00;154.371.224,59
2019-03-04;160.957.822,27;-558.613,52;153.812.611,07
2019-03-05;161.851.802,35;376.496,98;154.189.108,05
2019-03-06;162.333.969,55;671.903,84;154.861.011,89
2019-03-07;162.179.867,55;127.516,73;154.988.528,62
2019-03-08;162.581.735,24;135.726,91;155.124.255,53
2019-03-09;162.578.209,09;0,00;155.124.255,53
2019-03-10;162.631.241,42;0,00;155.124.255,53
2019-03-11;162.699.195,48;263.391,89;155.387.647,42
2019-03-12;163.523.670,78;365.359,56;155.753.006,98
2019-03-13;164.000.455,64;138.616,65;155.891.623,63
2019-03-14;164.388.937,86;438.070,55;156.329.694,18
2019-03-15;165.070.722,12;226.471,59;156.556.165,77
2019-03-16;165.334.643,36;0,00;156.556.165,77
2019-03-17;165.334.932,62;0,00;156.556.165,77
2019-03-18;165.814.642,08;326.602,77;156.882.768,54
2019-03-19;166.689.501,80;449.870,40;157.332.638,94
2019-03-20;166.955.244,23;448.741,49;157.781.380,43
2019-03-21;167.421.210,76;544.557,90;158.325.938,33
2019-03-22;168.041.824,13;202.079,07;158.528.017,40
2019-03-23;167.781.378,57;0,00;158.528.017,40
2019-03-24;167.781.065,24;0,00;158.528.017,40
2019-03-25;167.722.652,96;341.477,26;158.869.494,66
2019-03-26;167.991.164,33;264.607,43;159.134.102,09
2019-03-27;169.141.819,08;692.256,94;159.826.359,03
2019-03-28;169.699.817,91;562.944,56;160.389.303,59
2019-03-29;170.518.270,98;314.842,41;160.704.146,00
2019-03-30;170.542.724,83;0,00;160.704.146,00
2019-03-31;170.543.648,04;0,00;160.704.146,00
2019-04-01;171.582.532,11;652.609,92;161.356.755,92
2019-04-02;173.180.692,05;871.464,29;162.228.220,21
2019-04-03;174.334.021,67;515.840,56;162.744.060,77
2019-04-04;174.613.225,95;87.914,48;162.831.975,25
2019-04-05;175.320.211,37;311.409,49;163.143.384,74
2019-04-06;175.329.165,26;0,00;163.143.384,74
2019-04-07;175.330.983,95;0,00;163.143.384,74
2019-04-08;176.207.163,59;709.192,17;163.852.576,91
2019-04-09;176.566.006,89;699.838,32;164.552.415,23
2019-04-10;176.831.637,77;509.523,60;165.061.938,83
2019-04-11;177.478.862,52;435.282,99;165.497.221,82
2019-04-12;178.596.960,49;1.178.829,39;166.676.051,21
2019-04-13;178.605.753,62;0,00;166.676.051,21
2019-04-14;178.623.941,51;0,00;166.676.051,21
2019-04-15;179.247.102,32;708.982,22;167.385.033,43
2019-04-16;180.468.486,10;1.208.733,70;168.593.767,13
2019-04-17;181.072.728,01;382.758,56;168.976.525,69
2019-04-18;181.297.454,25;172.165,35;169.148.691,04
2019-04-19;181.869.493,89;822,78;169.149.513,82
2019-04-20;181.869.288,96;0,00;169.149.513,82
2019-04-21;181.871.749,03;0,00;169.149.513,82
2019-04-22;181.821.455,54;99.222,21;169.248.736,03
2019-04-23;182.433.853,35;469.015,84;169.717.751,87
2019-04-24;183.628.804,68;483.991,54;170.201.743,41
2019-04-25;183.976.819,10;323.406,44;170.525.149,85
2019-04-26;184.569.605,42;142.435,34;170.667.585,19
2019-04-27;184.874.103,00;0,00;170.667.585,19
2019-04-28;184.875.338,49;0,00;170.667.585,19
2019-04-29;185.600.559,46;700.060,49;171.367.645,68
2019-04-30;186.592.804,34;829.901,93;172.197.547,61
2019-05-01;186.330.155,10;-83.502,35;172.114.045,26
2019-05-02;186.459.309,34;421.299,17;172.535.344,43
2019-05-03;186.800.370,40;265.626,55;172.800.970,98
2019-05-04;186.803.545,22;0,00;172.800.970,98
2019-05-05;187.175.424,03;0,00;172.800.970,98
2019-05-06;189.248.283,44;379.361,39;173.180.332,37
2019-05-07;189.515.694,56;854.676,26;174.035.008,63
2019-05-08;188.067.272,81;-135.986,68;173.899.021,95
2019-05-09;188.918.005,78;674.659,08;174.573.681,03
2019-05-10;188.892.342,60;728.920,17;175.302.601,20
2019-05-11;188.896.833,76;0,00;175.302.601,20
2019-05-12;188.899.999,87;0,00;175.302.601,20
2019-05-13;188.978.574,75;529.694,00;175.832.295,20
2019-05-14;188.326.147,46;602.125,37;176.434.420,57
2019-05-15;189.801.332,25;252.062,95;176.686.483,52
2019-05-16;190.785.995,06;701.710,73;177.388.194,25
2019-05-17;191.678.237,52;166.228,55;177.554.422,80
2019-05-18;191.679.039,79;0,00;177.554.422,80
2019-05-19;191.686.694,30;0,00;177.554.422,80
2019-05-20;191.446.610,79;331.626,27;177.886.049,07
2019-05-21;192.110.825,38;813.870,03;178.699.919,10
2019-05-22;192.722.876,78;489.941,26;179.189.860,36
2019-05-23;193.042.420,90;320.818,02;179.510.678,38
2019-05-24;192.474.401,90;400.516,49;179.911.194,87
2019-05-25;192.474.002,16;0,00;179.911.194,87
2019-05-26;192.474.043,22;0,00;179.911.194,87
2019-05-27;192.746.872,94;506.277,09;180.417.471,96
2019-05-28;193.373.476,69;291.184,73;180.708.656,69
2019-05-29;193.496.684,75;499.025,21;181.207.681,90
2019-05-30;193.414.966,44;256.858,98;181.464.540,88
2019-05-31;194.669.737,11;984.964,04;182.449.504,92
2019-06-01;194.678.964,86;0,00;182.449.504,92
2019-06-02;194.712.147,34;0,00;182.449.504,92
2019-06-03;194.389.310,87;423.830,69;182.873.335,61
2019-06-04;195.079.148,45;999.369,55;183.872.705,16
2019-06-05;196.883.032,08;286.942,53;184.159.647,69
2019-06-06;197.950.674,54;720.955,11;184.880.602,80
2019-06-07;198.397.670,05;280.015,59;185.160.618,39
2019-06-08;198.402.878,51;0,00;185.160.618,39
2019-06-09;198.403.881,67;0,00;185.160.618,39
2019-06-10;199.947.916,64;523.465,00;185.684.083,39
2019-06-11;200.774.999,63;256.416,70;185.940.500,09
2019-06-12;201.447.022,64;185.162,87;186.125.662,96
2019-06-13;201.416.681,88;246.877,44;186.372.540,40
2019-06-14;202.242.935,06;356.062,59;186.728.602,99
2019-06-15;202.244.813,43;0,00;186.728.602,99
2019-06-16;202.252.394,85;0,00;186.728.602,99
2019-06-17;202.836.921,85;555.774,60;187.284.377,59
2019-06-18;203.903.150,78;296.300,36;187.580.677,95
2019-06-19;206.543.995,57;688.760,72;188.269.438,67
2019-06-20;207.316.494,78;413.734,09;188.683.172,76
2019-06-21;208.074.964,96;270.124,53;188.953.297,29
2019-06-22;208.074.434,36;0,00;188.953.297,29
2019-06-23;208.084.192,98;0,00;188.953.297,29
2019-06-24;207.846.665,75;665.408,50;189.618.705,79
2019-06-25;208.705.429,47;1.239.425,16;190.858.130,95
2019-06-26;211.227.389,71;857.691,88;191.715.822,83
2019-06-27;211.453.218,80;262.992,18;191.978.815,01
2019-06-28;212.448.055,50;425.764,69;192.404.579,70
2019-06-29;212.399.255,57;0,00;192.404.579,70
2019-06-30;212.438.486,93;0,00;192.404.579,70
2019-07-01;214.640.294,11;1.363.317,93;193.767.897,63
2019-07-02;217.715.196,69;1.340.099,17;195.107.996,80
2019-07-03;219.515.089,32;881.652,80;195.989.649,60
2019-07-04;221.414.159,48;655.753,68;196.645.403,28
2019-07-05;222.260.602,55;649.026,52;197.294.429,80
2019-07-06;222.264.811,30;0,00;197.294.429,80
2019-07-07;222.313.803,23;0,00;197.294.429,80
2019-07-08;223.258.393,62;1.304.870,37;198.599.300,17
2019-07-09;223.247.181,22;644.343,92;199.243.644,09
2019-07-10;223.690.956,11;473.911,02;199.717.555,11
2019-07-11;223.809.286,79;346.818,30;200.064.373,41
2019-07-12;224.374.745,26;299.002,91;200.363.376,32
2019-07-13;224.374.727,93;0,00;200.363.376,32
2019-07-14;224.453.932,34;0,00;200.363.376,32
2019-07-15;225.292.420,78;740.962,46;201.104.338,78
2019-07-16;226.295.664,38;573.812,00;201.678.150,78
2019-07-17;226.650.076,24;304.228,81;201.982.379,59
2019-07-18;226.380.500,77;124.437,40;202.106.816,99
2019-07-19;226.993.745,94;498.227,09;202.605.044,08
2019-07-20;226.994.393,71;0,00;202.605.044,08
2019-07-21;227.050.473,18;0,00;202.605.044,08
2019-07-22;227.851.352,12;576.784,25;203.181.828,33
2019-07-23;228.618.149,51;1.195.506,17;204.377.334,50
2019-07-24;231.023.474,99;236.952,91;204.614.287,41
2019-07-25;231.932.381,10;426.634,84;205.040.922,25
2019-07-26;231.453.985,39;57.758,88;205.098.681,13
2019-07-27;231.472.587,10;0,00;205.098.681,13
2019-07-28;231.539.550,42;0,00;205.098.681,13
2019-07-29;232.638.868,60;501.875,31;205.600.556,44
2019-07-30;232.870.907,56;678.254,33;206.278.810,77
2019-07-31;232.710.741,66;362.829,77;206.641.640,54
2019-08-01;232.668.291,14;285.858,21;206.927.498,75
2019-08-02;233.590.098,57;1.402.071,13;208.329.569,88
2019-08-03;233.590.733,99;0,00;208.329.569,88
2019-08-04;233.594.923,54;0,00;208.329.569,88
2019-08-05;231.431.304,11;272.345,28;208.601.915,16
2019-08-06;228.778.964,78;741.137,04;209.343.052,20
2019-08-07;230.277.054,24;545.570,00;209.888.622,20
2019-08-08;231.563.768,04;535.662,50;210.424.284,70
2019-08-09;233.194.348,50;290.748,65;210.715.033,35
2019-08-10;233.196.021,58;0,00;210.715.033,35
2019-08-11;233.194.702,52;0,00;210.715.033,35
2019-08-12;232.783.769,12;850.553,83;211.565.587,18
2019-08-13;232.829.293,73;307.198,08;211.872.785,26
2019-08-14;233.377.200,84;287.531,19;212.160.316,45
2019-08-15;232.528.813,15;304.538,28;212.464.854,73
2019-08-16;234.162.973,56;299.344,62;212.764.199,35
2019-08-17;234.163.877,66;0,00;212.764.199,35
2019-08-18;234.168.293,29;0,00;212.764.199,35
2019-08-19;235.607.062,67;44.244,07;212.808.443,42
2019-08-20;236.913.766,64;475.567,38;213.284.010,80
2019-08-21;237.309.383,96;352.263,86;213.636.274,66
2019-08-22;238.139.599,34;375.329,64;214.011.604,30
2019-08-23;237.717.386,93;224.754,58;214.236.358,88
2019-08-24;237.718.188,96;0,00;214.236.358,88
2019-08-25;237.792.935,78;0,00;214.236.358,88
2019-08-26;236.562.135,65;548.166,52;214.784.525,40
2019-08-27;237.260.156,85;412.832,92;215.197.358,32
2019-08-28;238.570.535,52;621.559,48;215.818.917,80
2019-08-29;240.315.850,60;362.339,40;216.181.257,20
2019-08-30;241.951.227,78;496.404,41;216.677.661,61
2019-08-31;241.955.050,58;0,00;216.677.661,61
2019-09-01;241.957.434,09;0,00;216.677.661,61
2019-09-02;243.613.825,00;578.798,28;217.256.459,89
2019-09-03;245.026.257,57;1.206.213,03;218.462.672,92
2019-09-04;245.812.762,01;931.301,06;219.393.973,98
2019-09-05;247.334.242,40;463.503,83;219.857.477,81
2019-09-06;248.714.583,22;896.725,37;220.754.203,18
2019-09-07;248.714.306,69;0,00;220.754.203,18
2019-09-08;248.722.088,06;0,00;220.754.203,18
2019-09-09;249.964.136,85;720.759,17;221.474.962,35
2019-09-10;250.132.046,65;686.651,82;222.161.614,17
2019-09-11;250.739.070,25;279.186,42;222.440.800,59
2019-09-12;252.667.474,04;292.373,79;222.733.174,38
2019-09-13;252.983.754,82;141.792,80;222.874.967,18
2019-09-14;253.181.500,81;0,00;222.874.967,18
2019-09-15;253.083.592,90;101.023,01;222.975.990,19
2019-09-16;253.165.838,21;740.383,43;223.716.373,62
2019-09-17;254.714.257,32;1.175.690,21;224.892.063,83
2019-09-18;254.271.883,89;207.756,30;225.099.820,13
2019-09-19;254.604.205,41;176.586,54;225.276.406,67
2019-09-20;255.167.906,89;423.896,33;225.700.303,00
2019-09-21;255.167.216,05;0,00;225.700.303,00
2019-09-22;255.167.481,29;0,00;225.700.303,00
2019-09-23;255.698.808,58;239.493,42;225.939.796,42
2019-09-24;255.650.479,97;508.501,12;226.448.297,54
2019-09-25;256.322.751,81;388.201,94;226.836.499,48
2019-09-26;256.892.172,84;309.077,67;227.145.577,15
2019-09-27;257.403.211,96;445.723,38;227.591.300,53
2019-09-28;257.413.500,89;0,00;227.591.300,53
2019-09-29;257.421.432,43;0,00;227.591.300,53
2019-09-30;257.513.758,76;174.457,85;227.765.758,38
2019-10-01;259.210.823,88;1.772.735,30;229.538.493,68
2019-10-02;258.083.593,24;858.475,49;230.396.969,17
2019-10-03;256.231.936,26;492.344,24;230.889.313,41
2019-10-04;257.305.017,88;475.167,18;231.364.480,59
2019-10-05;257.310.317,42;0,00;231.364.480,59
2019-10-06;257.329.873,25;0,00;231.364.480,59
2019-10-07;259.496.636,37;707.829,87;232.072.310,46
2019-10-08;259.568.193,78;1.136.211,12;233.208.521,58
2019-10-09;259.665.406,69;615.891,44;233.824.413,02
2019-10-10;260.497.195,62;413.675,27;234.238.088,29
2019-10-11;262.424.754,62;1.722.182,36;235.960.270,65
2019-10-12;262.473.855,51;0,00;235.960.270,65
2019-10-13;262.493.747,81;0,00;235.960.270,65
2019-10-14;264.618.211,66;595.987,44;236.556.258,09
2019-10-15;265.889.864,39;863.708,32;237.419.966,41
2019-10-16;267.066.902,12;437.551,01;237.857.517,42
2019-10-17;266.874.864,78;141.577,28;237.999.094,70
2019-10-18;266.501.099,09;173.548,32;238.172.643,02
2019-10-19;266.516.100,62;0,00;238.172.643,02
2019-10-20;266.552.043,20;0,00;238.172.643,02
2019-10-21;266.156.277,32;47.175,06;238.219.818,08
2019-10-22;267.048.878,52;501.180,09;238.720.998,17
2019-10-23;268.060.077,53;656.487,90;239.377.486,07
2019-10-24;269.153.090,65;565.630,07;239.943.116,14
2019-10-25;270.297.801,35;426.765,10;240.369.881,24
2019-10-26;270.303.840,13;0,00;240.369.881,24
2019-10-27;270.343.591,34;0,00;240.369.881,24
2019-10-28;271.534.113,14;424.636,77;240.794.518,01
2019-10-29;272.598.971,26;961.175,82;241.755.693,83
2019-10-30;273.150.011,75;578.018,69;242.333.712,52
2019-10-31;273.796.766,42;669.820,76;243.003.533,28
2019-11-01;274.657.768,35;683.106,87;243.686.640,15
2019-11-02;274.669.340,83;0,00;243.686.640,15
2019-11-03;274.684.828,06;0,00;243.686.640,15
2019-11-04;275.955.805,05;714.858,86;244.401.499,01
2019-11-05;279.043.099,74;1.446.036,64;245.847.535,65
2019-11-06;281.263.170,19;1.654.597,11;247.502.132,76
2019-11-07;282.516.572,11;948.071,07;248.450.203,83
2019-11-08;282.962.061,50;206.495,10;248.656.698,93
2019-11-09;282.975.543,58;0,00;248.656.698,93
2019-11-10;283.008.109,02;0,00;248.656.698,93
2019-11-11;284.028.082,68;781.929,78;249.438.628,71
2019-11-12;284.736.182,14;750.379,43;250.189.008,14
2019-11-13;285.871.024,82;1.041.121,14;251.230.129,28
2019-11-14;287.314.861,26;1.302.095,13;252.532.224,41
2019-11-15;288.323.472,70;1.239.660,75;253.771.885,16
2019-11-16;288.331.555,17;0,00;253.771.885,16
2019-11-17;288.404.474,43;0,00;253.771.885,16
2019-11-18;290.002.904,02;1.196.957,34;254.968.842,50
2019-11-19;291.005.876,13;940.755,87;255.909.598,37
2019-11-20;291.435.759,23;521.654,68;256.431.253,05
2019-11-21;291.421.399,49;266.508,62;256.697.761,67
2019-11-22;291.616.982,80;732.237,57;257.429.999,24
2019-11-23;291.647.618,91;0,00;257.429.999,24
2019-11-24;291.662.483,88;0,00;257.429.999,24
2019-11-25;293.529.713,09;1.083.086,48;258.513.085,72
2019-11-26;296.979.067,08;1.492.107,77;260.005.193,49
2019-11-27;298.595.563,50;1.200.461,21;261.205.654,70
2019-11-28;300.066.249,78;983.033,94;262.188.688,64
2019-11-29;300.532.095,90;904.785,28;263.093.473,92
2019-11-30;300.610.834,39;0,00;263.093.473,92
2019-12-01;300.609.880,57;0,00;263.093.473,92
2019-12-02;301.121.021,73;2.186.409,81;265.279.883,73
2019-12-03;301.096.581,74;1.440.100,52;266.719.984,25
2019-12-04;301.921.200,95;1.305.936,99;268.025.921,24
2019-12-05;303.925.634,22;904.524,20;268.930.445,44
2019-12-06;305.074.893,65;802.281,79;269.732.727,23
2019-12-07;305.118.630,98;0,00;269.732.727,23
2019-12-08;305.150.497,04;0,00;269.732.727,23
2019-12-09;308.097.674,27;822.318,61;270.555.045,84
2019-12-10;309.357.126,50;1.919.580,26;272.474.626,10
2019-12-11;310.430.855,49;1.264.178,57;273.738.804,67
2019-12-12;311.995.231,43;836.530,99;274.575.335,66
2019-12-13;315.511.424,25;2.675.402,96;277.250.738,62
2019-12-14;315.564.341,33;0,00;277.250.738,62
2019-12-15;315.698.439,59;0,00;277.250.738,62
2019-12-16;318.765.729,65;2.279.047,89;279.529.786,51
2019-12-17;320.431.337,77;1.194.797,91;280.724.584,42
2019-12-18;321.882.719,51;912.379,13;281.636.963,55
2019-12-19;324.230.869,13;1.230.771,47;282.867.735,02
2019-12-20;327.327.792,50;2.697.274,42;285.565.009,44
2019-12-21;327.323.759,60;0,00;285.565.009,44
2019-12-22;327.621.816,30;0,00;285.565.009,44
2019-12-23;330.255.367,94;1.860.704,48;287.425.713,92
2019-12-24;332.056.247,97;1.741.479,94;289.167.193,86
2019-12-25;332.084.893,72;28.823,64;289.196.017,50
2019-12-26;332.874.416,71;787.875,01;289.983.892,51
2019-12-27;334.968.378,94;1.376.908,32;291.360.800,83
2019-12-28;335.261.327,39;0,00;291.360.800,83
2019-12-29;335.428.770,52;0,00;291.360.800,83
2019-12-30;337.390.768,88;3.332.164,81;294.692.965,64
2019-12-31;338.074.563,49;2.047.351,28;296.740.316,92
2020-01-01;338.057.596,55;16.379,17;296.756.696,09
2020-01-02;340.855.533,12;2.120.366,48;298.877.062,57
2020-01-03;344.913.476,58;1.963.703,90;300.840.766,47
2020-01-04;344.912.351,00;0,00;300.840.766,47
2020-01-05;344.911.395,35;0,00;300.840.766,47
2020-01-06;346.571.867,24;2.200.634,10;303.041.400,57
2020-01-07;348.350.248,36;1.988.096,10;305.029.496,67
2020-01-08;350.059.631,64;1.635.418,76;306.664.915,43
2020-01-09;352.067.715,16;1.654.835,84;308.319.751,27
2020-01-10;354.381.029,12;1.198.845,19;309.518.596,46
2020-01-11;354.381.063,28;0,00;309.518.596,46
2020-01-12;354.379.887,07;0,00;309.518.596,46
2020-01-13;355.807.585,79;1.403.752,20;310.922.348,66
2020-01-14;358.049.794,30;2.022.763,79;312.945.112,45
2020-01-15;360.521.049,84;2.022.807,55;314.967.920,00
2020-01-16;363.482.364,04;2.446.798,95;317.414.718,95
2020-01-17;366.582.621,62;2.319.388,34;319.734.107,29
2020-01-18;366.581.863,40;0,00;319.734.107,29
2020-01-19;366.580.826,44;0,00;319.734.107,29
2020-01-20;369.366.822,06;1.288.902,93;321.023.010,22
2020-01-21;370.537.558,41;1.604.787,61;322.627.797,83
2020-01-22;371.647.251,41;1.352.355,87;323.980.153,70
2020-01-23;373.295.654,64;1.430.810,12;325.410.963,82
2020-01-24;374.820.153,57;993.985,30;326.404.949,12
2020-01-25;374.818.993,53;0,00;326.404.949,12
2020-01-26;374.817.837,49;0,00;326.404.949,12
